0;10
0;44
0;47
0;18
0;16
1;9
1;44
1;47
1;17
1;19
1;15
2;26
2;25
2;30
3;27
3;32
3;29
4;6
4;14
4;12
4;11
5;6
5;9
6;8
6;44
6;15
6;17
6;19
6;21
6;32
6;24
6;29
6;26
6;27
6;5
6;4
7;47
7;11
7;13
7;12
7;19
7;16
7;17
7;18
7;20
7;23
7;26
7;27
7;28
7;31
7;10
8;47
8;6
8;44
8;28
9;5
9;1
9;10
10;7
10;9
10;0
11;21
11;4
11;7
12;32
12;7
12;4
13;24
13;14
13;7
13;14
14;29
14;13
14;4
14;13
15;1
15;16
15;6
15;20
16;15
16;0
16;7
17;1
17;7
17;18
17;6
17;31
18;17
18;0
18;7
19;1
19;6
19;7
19;23
20;22
20;15
20;7
21;27
21;22
21;6
21;11
22;26
22;21
22;20
23;25
23;19
23;7
24;27
24;25
24;6
24;13
25;24
25;2
25;23
26;2
26;6
26;22
26;7
26;33
27;3
27;6
27;24
27;7
27;21
28;30
28;8
28;7
29;3
29;30
29;6
29;14
30;29
30;2
30;28
31;33
31;17
31;7
32;3
32;6
32;12
33;26
33;31
44;6
44;8
44;1
44;0
47;8
47;7
47;1
47;0
